business_name,city,state,original_source_url,issue,recommended_action,pm_review_required
"Soul 2 Soul Global Events","Los Angeles",CA,"https://www.google.com/search?q=Soul%202%20Soul%20Global%20Events+Los Angeles+CA",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"1QTEE Boutique","Las Vegas",NV,"https://www.google.com/search?q=1QTEE%20Boutique+Las Vegas+NV",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Slauson Grill","Las Vegas",NV,"https://www.google.com/search?q=Slauson%20Grill+Las Vegas+NV",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Hibachi Vegas Food Truck","Las Vegas",NV,"https://www.google.com/search?q=Hibachi%20Vegas%20Food%20Truck+Las Vegas+NV",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Afiya Express Courier","Las Vegas",NV,"https://www.google.com/search?q=Afiya%20Express%20Courier+Las Vegas+NV",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Sweets by Sherell","Las Vegas",NV,"https://www.google.com/search?q=Sweets%20by%20Sherell+Las Vegas+NV",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Vegas Health First Pharmacy","Las Vegas",NV,"https://www.google.com/search?q=Vegas%20Health%20First%20Pharmacy+Las Vegas+NV",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Harlem Health Pharmacy","New York",NY,"https://www.google.com/search?q=Harlem%20Health%20Pharmacy+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Big Apple Courier","New York",NY,"https://www.google.com/search?q=Big%20Apple%20Courier+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Harlem Events Collective","New York",NY,"https://www.google.com/search?q=Harlem%20Events%20Collective+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Piece of Cake Bakery","New York",NY,"https://www.google.com/search?q=Piece%20of%20Cake%20Bakery+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Harlem Nail Studio","New York",NY,"https://www.google.com/search?q=Harlem%20Nail%20Studio+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Brooklyn Barber Co.","New York",NY,"https://www.google.com/search?q=Brooklyn%20Barber%20Co.+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"The Brownstone Event Space","New York",NY,"https://www.google.com/search?q=The%20Brownstone%20Event%20Space+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Uptown Mobile Deli","New York",NY,"https://www.google.com/search?q=Uptown%20Mobile%20Deli+New York+NY",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
