SURFACE,FEATURE,CURRENT STATE,MATURITY SCORE,EVIDENCE,BLOCKER
ADMIN PORTAL,Employee roles and permissions,PARTIALLY WIRED,3,"AdminRole/permission views, middleware and routes","Full allow/deny matrix not executed"
ADMIN PORTAL,Orders and Order Anywhere,PARTIALLY WIRED,3,"admin routes/controllers/views/services/models","Canonical orders schema absent"
ADMIN PORTAL,Payments refunds wallets and ledgers,BROKEN,3,"provider/services/controllers/tables exist","Adyen missing-HMAC validation fails open; live configuration unproven"
ADMIN PORTAL,Courier medical routes and scanning,PARTIALLY WIRED,3,"route-package, custody, intake, scan and route code","No scanner-to-database-to-driver E2E"
ADMIN PORTAL,AI Operations and Copilot,PARTIALLY WIRED,3,"admin routes/controllers/services/models and scheduler","Provider credentials/runtime unproven"
ADMIN PORTAL,Reports analytics and audit logs,PARTIALLY WIRED,3,"report routes/views, analytics services, audit tables","Route history had regressions; current full render unverified"
ADMIN PORTAL,Settings branding notifications and integrations,PARTIALLY WIRED,3,"settings views/controllers/config","SMTP/Firebase/Pusher live operation unproven"
BUSINESS PORTAL,Authentication and session,PARTIALLY WIRED,3,"routes/business.php guard/controllers/views","Live authorized business session not certified"
BUSINESS PORTAL,Dashboard profile employees and permissions,PARTIALLY WIRED,3,"business routes/views/models and RBAC migration","Local schema drift blocks dashboard test"
BUSINESS PORTAL,Locations documents and uploads,PARTIALLY WIRED,3,"business routes/controllers/views/tables","Storage target was missing in prior live DCP"
BUSINESS PORTAL,Courier routes package pool and multi-stop,PARTIALLY WIRED,3,"business routes and route-package services/views","No full package lifecycle E2E"
BUSINESS PORTAL,Camera barcode and QR scanning,PARTIALLY WIRED,3,"scanner controls and intake endpoints","Camera opening does not prove persisted scan"
BUSINESS PORTAL,Billing payments statements and reports,PARTIALLY WIRED,3,"billing/load/payment source exists","Money and statement reconciliation unverified"
BUSINESS PORTAL,Load sourcing and saved searches,PARTIALLY WIRED,3,"business load-board/AI logistics routes and services","External source credentials unavailable"
DISPATCHER PORTAL,Authentication model,PARTIALLY WIRED,3,"business guard plus dispatcher and dispatch-territory middleware","No standalone dispatcher login exists"
DISPATCHER PORTAL,Actual route structure,PARTIALLY WIRED,3,"routes/business.php prefix business/dispatcher","Prior /dispatcher Playwright paths are false"
DISPATCHER PORTAL,Dashboard load browser search and filters,PARTIALLY WIRED,3,"DispatcherPortalController and business views","No trusted browser run"
DISPATCHER PORTAL,Driver matching assignment and tracking,PARTIALLY WIRED,3,"controllers/services/tables/routes","Cross-role driver result unverified"
DISPATCHER PORTAL,Earnings commission academy and reports,PARTIALLY WIRED,3,"route/view signals present","Final settlement and academy workflows unverified"
VENDOR WEB PORTAL,Authentication and activation,PARTIALLY WIRED,3,"vendor routes, guard middleware, controllers","No approved-vendor browser workflow"
VENDOR WEB PORTAL,Products inventory variants and add-ons,PARTIALLY WIRED,3,"vendor routes/views/controllers/models","Shopper visibility not certified"
VENDOR WEB PORTAL,Order fulfillment transitions,PARTIALLY WIRED,3,"order routes/controllers/views","No customer-to-vendor-to-driver E2E"
VENDOR WEB PORTAL,Wallet withdrawals statements,PARTIALLY WIRED,3,"wallet routes/controllers/models/views","Settlement/reconciliation unverified"
VENDOR WEB PORTAL,Promotions reviews analytics and support,PARTIALLY WIRED,3,"views/controllers/routes exist","No trustworthy browser evidence"
SHOPPER APP,Startup location authentication and OTP,PARTIALLY WIRED,3,"legacy app controllers/repositories/APIs","Only three Dart tests; no integration suite"
SHOPPER APP,Home modules stores categories and products,PARTIALLY WIRED,3,"legacy 6amMart package with extensive API-backed UI","Current production API behavior unverified"
SHOPPER APP,Cart checkout address and orders,PARTIALLY WIRED,3,"repositories/controllers/screens and backend APIs","Orders schema is not reproducible"
SHOPPER APP,Payments wallet coupons referrals,PARTIALLY WIRED,3,"mobile screens/repositories and backend endpoints","No live money test allowed or evidenced"
SHOPPER APP,Order Anywhere,PARTIALLY WIRED,3,"mobile and backend Order Anywhere source","Full purchase/card/driver lifecycle unverified"
SHOPPER APP,Urban Goodz Hub and UG+,PLACEHOLDER,1,"waitlist and coming-soon text in source","No membership workflow"
SHOPPER APP,Logistics loads,PLACEHOLDER,1,"logistics_load_board_screen_placeholder.dart","Carrier waitlist is not a load-board workflow"
SHOPPER APP,Community Marketplace,PLACEHOLDER,1,"community_marketplace_screen_placeholder.dart","Waitlist only"
SHOPPER APP,Book services,PLACEHOLDER,1,"book_services_screen_placeholder.dart","Static/placeholder entry despite backend service code"
SHOPPER APP,Fashion Fit measurement capture,PARTIALLY WIRED,3,"models/services/API source and measurement screens","Screen states real AI accuracy/facial privacy processing are coming soon"
SHOPPER APP,Creators reels video and events,PARTIALLY WIRED,3,"screens/routes/backend source","Creator commerce screen remains placeholder and media E2E absent"
SHOPPER APP,Rentals,BROKEN,2,"rental UI/models exist","taxi_cart_repository.dart methods remain TODO"
SHOPPER APP,Black-Owned Spotlight,PLACEHOLDER,1,"screen says curated businesses coming soon","No populated workflow"
VENDOR APP,Onboarding and authentication,PARTIALLY WIRED,3,"API client and auth controller","Production host hardcoded; behavioral test absent"
VENDOR APP,Dashboard and metrics,MOCK DATA ONLY,1,"MockDashboardRepository","Displays fabricated records"
VENDOR APP,Orders and fulfillment,MOCK DATA ONLY,1,"MockOrdersRepository","Not bound to real order state"
VENDOR APP,Inventory,MOCK DATA ONLY,1,"MockInventoryRepository","No shopper-visibility proof"
VENDOR APP,Service bookings,MOCK DATA ONLY,1,"MockServiceBookingsRepository","No real provider workflow"
VENDOR APP,Promotions reels analytics reviews revenue,MOCK DATA ONLY,1,"controllers import mock_vendor_data.dart","Fabricated data"
VENDOR APP,Automated tests,BROKEN,1,"single counter-template widget test","Test does not represent current app"
DRIVER APP,Onboarding and authentication,PARTIALLY WIRED,3,"driver API service/config and onboarding source","Production host hardcoded; no trustworthy E2E"
DRIVER APP,Dashboard active jobs and route details,MOCK DATA ONLY,1,"controllers depend on MockDashboardRepository/MockJobRepository","Some methods call live endpoints but dominant state is mock"
DRIVER APP,Capabilities and business courier jobs,PARTIALLY WIRED,3,"ApiConfig endpoints and DriverApiService","No device-to-backend persisted-state artifact"
DRIVER APP,Load board and job discovery,PARTIALLY WIRED,2,"API endpoints exist alongside MockJobRepository","Mixed live and mock sources"
DRIVER APP,Earnings payouts opportunities and vehicles,MOCK DATA ONLY,1,"MockEarnings/MockPayout/MockOpportunity/MockVehicle repositories","Fabricated records and balances"
DRIVER APP,Certifications and documents,MOCK DATA ONLY,1,"MockCertificationRepository","Uploads/renewals return true without proof"
DRIVER APP,Notifications,PARTIALLY WIRED,3,"dispatch notification API source and backend producers","Device delivery unverified"
DRIVER APP,Automated tests,BROKEN,1,"single counter-template widget test","Test does not represent current app"
BACKEND API,Customer vendor driver and business APIs,BACKEND ONLY,2,"602+ API route definitions and controllers/models","Clean schema cannot be built; cross-client E2E absent"
DATABASE,Migration reproducibility,BLOCKED,2,"337 migrations; orders altered without committed create baseline","Authoritative read-only schema export required"
DATABASE,Tenant and ownership scoping,PARTIALLY WIRED,3,"business/dispatcher middleware and ownership tests","Complete role/table matrix not executed"
PAYMENTS,Provider selection and safeguards,BACKEND ONLY,2,"urban_goodz_payments config and provider managers","Defaults to staged_test/sandbox; live config unproven"
PAYMENTS,Stripe gateway and webhook,PARTIALLY WIRED,3,"Stripe service and signature construction","Credentials and sandbox webhook execution unproven"
PAYMENTS,Adyen gateway and webhook,BROKEN,2,"AdyenPaymentGateway::validateWebhook","Missing HMAC key returns true"
PAYMENTS,Order Anywhere issuing cards,PARTIALLY WIRED,3,"issuing interfaces/providers/card request tables","Default manual provider; live issuer unproven"
PAYMENTS,Ledger idempotency and reconciliation,PARTIALLY WIRED,4,"payment service, ledger models, audit tests","Clean full suite blocked; live reconciliation not certified"
NOTIFICATIONS,Firebase and in-app delivery,BACKEND ONLY,2,"notification service, queued job, tables","Firebase credentials/device delivery unproven"
NOTIFICATIONS,Email SMTP and SMS OTP,BACKEND ONLY,2,"mail/SMS controllers/config/templates","Live credentials and delivery unproven"
REALTIME,Pusher WebSockets and location events,BACKEND ONLY,2,"websocket config, event/listener/job","Server/worker configuration unproven"
QUEUES,Queue jobs and retry behavior,BACKEND ONLY,2,"four ShouldQueue jobs","Worker, failed-job and dead-letter operation unproven"
SCHEDULER,AI load sourcing and recommendation schedules,BACKEND ONLY,2,"Console Kernel has three schedules","Production cron invocation unproven"
WEBHOOKS,Payment webhook verification,BROKEN,2,"Stripe fail-closed; Adyen fail-open; staged test public in non-production","Provider secrets and end-to-end processing unproven"
AI OPERATIONS,Copilot Chief of Staff and recommendations,BACKEND ONLY,2,"services/models/controllers/commands","Provider configuration and business outcomes unproven"
LOAD SOURCING,Internal manual and email loads,PARTIALLY WIRED,3,"adapters, normalizer, persistence, UI and scheduler","No trusted end-to-end execution"
LOAD SOURCING,DAT and Truckstop adapters,BACKEND ONLY,2,"request/normalization implementations exist","Partner credentials/sandbox execution absent"
LOAD SOURCING,Trulos TB Load Direct Freight Trucker Path TruckSmarter,BLOCKED,2,"adapters return explicit failClosed messages","Partnership/API access not authorized"
ANALYTICS,Admin and web reporting,PARTIALLY WIRED,3,"report routes/controllers/views","Full dashboard/report render not certified"
ANALYTICS,Vendor and driver app analytics,MOCK DATA ONLY,1,"mobile mock repositories","Not derived from real ledger/order data"
STORAGE,Uploads and public storage,PARTIALLY WIRED,3,"upload controls/controllers/filesystem config","Prior live DCP found missing storage target"
MAPS,Address zone route and driver mapping,PARTIALLY WIRED,3,"map controls/services/config","Key configuration and real navigation unverified"
SCANNING,Barcode QR camera and package intake,PARTIALLY WIRED,3,"scanner UI/routes/controllers/tables","Scan-to-row-to-route handoff unverified"
SECURITY,Admin authentication correction,TESTED LOCALLY,4,"focused 33-test artifact","Not deployed/live certified"
SECURITY,Password retention,BROKEN,2,"LoginController queues encrypted submitted password in p_token cookie","Credential-retention design requires removal by Claude lane"
SECURITY,Webhook authenticity,BROKEN,2,"Adyen empty-HMAC path accepts webhook","P0 fail-closed repair required"
SECURITY,Mass assignment,BROKEN,2,"DeliveryMan protected guarded is empty","Endpoint-by-endpoint assignment review required"
PERMISSIONS,Admin module permissions,TESTED LOCALLY,4,"helper/middleware patch and focused tests","Browser/staging role fixture run missing"
PERMISSIONS,Business dispatcher vendor and driver ownership,PARTIALLY WIRED,3,"guards/middleware/ownership tests","Complete allow/deny matrix absent"
ADMIN PORTAL,AI Chief of Staff command assistant,BROKEN,2,"route/controller/service/view exist; no sidebar link; GET runs database-writing diagnostics","No dedicated permission; undefined Vendor class causes runtime failure; synthetic inventory signal; no provider/model/tool integration"
FINANCIAL CONTROL,Driver pricing policy persistence,PARTIALLY WIRED,3,"driver-pricing CRUD persists urban_goodz_driver_pricing_policies and writes activity logs","Policy approval and live/sandbox flags are stored but ignored by payout calculation"
FINANCIAL CONTROL,Driver payout approval settlement and ledger,BROKEN,3,"driver-payout routes/controller/models/ledger writes exist","Mutating payout endpoints lack dedicated payout-manage middleware/controller checks; paid status is not proof of external settlement"
FINANCIAL CONTROL,Dispatcher commission workspace,BROKEN,2,"Business Portal dispatcher commissions page and commission rows exist","No commission wallet, payout history, configuration UI, admin approval/pay endpoints, or ledger settlement chain"
FINANCIAL CONTROL,Cross-service Pricing and Payout Control Center,PLACEHOLDER,1,"scattered Order Anywhere split logic, driver policies, creator earnings, rentals and service pricing","No central screen; /admin/order-anywhere/settings is absent in this SHA; cross-service quote-to-invoice-to-ledger proof absent"
SECURITY,AI financial mutation boundary,BROKEN,2,"dynamic_ai payout model calls DynamicPricingService; approved earnings credit DeliveryManWallet","recommendation_only, approval-required, live-pricing and sandbox flags are not enforced by calculation/earning paths"
ADMIN PORTAL,Admin operational dashboard,BROKEN,3,"Urban Goodz command/revenue cards plus Legacy Marketplace Metrics render in dashboard.blade.php; live screenshots supplied","Legacy metrics use inconsistent filters; raw counts are not reconciled; some newer cards read keys the controller never returns"
DATABASE,Production data provenance and relationship integrity,BROKEN,2,"live screenshots show Demo Product and Carrot Imported while source queries do not require store relation in all-context mode","No consistent demo/seed/import/sandbox/production marker on legacy items; orphan and reconciliation audit not performed"
ANALYTICS,Marketplace sales and ranking reconciliation,BROKEN,2,"gross sales sum legacy order_transactions; top items use denormalized order_count","No join/reconciliation to provider events Urban Goodz ledgers customers vendors drivers or valid stores"
TESTING,PHPUnit suite,BROKEN,3,"388 patched tests with 112 errors and 7 failures","Schema/import/FK/Passport/stale-test blockers"
TESTING,Playwright certification,BROKEN,1,"prior 32 tests were goto plus tautological page assertion","Rebuilt Admin browser suite not run on staging"
TESTING,Appium certification,BROKEN,1,"external JUnit has 22 tests and 17 failures, not 352 passes","No trustworthy full mobile workflow artifact"
REPORTING,Operational and financial reports,PARTIALLY WIRED,3,"Admin and portal report views/controllers exist; UI census identifies report tables and exports","Metric definitions tenant scoping and ledger reconciliation are not uniformly proven"
UPLOADS,Document image and media uploads,PARTIALLY WIRED,3,"Blade/mobile upload controls and storage model references exist","Cross-surface validation privacy authorization retention and malware handling are not certified"
SECURITY,Default database seeding boundary,BROKEN,2,"DatabaseSeeder calls UserSeeder MeasurementRequestSeeder UrbanGoodzLoadBoardSeeder and UrbanGoodzTestVendorSeeder","Normal seed execution can create fake users an approved fixed-credential vendor a live-tester record and synthetic loads"
SECURITY,Shopper remembered credential storage,BROKEN,2,"auth_repository writes password to SharedPreferences under 6ammart_user_password","Password is not stored in an OS-backed secure credential facility"
REALTIME,Shopper WebSocket configuration,BROKEN,2,"pusher_helper.dart hard-codes key 6ammart and private-LAN fallback 192.168.1.62","Runtime can connect to the wrong or unreachable host and key"
NOTIFICATIONS,Shopper Firebase application identity,BROKEN,2,"Android config uses project urbaneatz; iOS plist uses legacy stackmart project and com.sixamtech.6amMart bundle","Owned project access data isolation signing and cross-platform identity are unproven"
SHOPPER APP,iOS package identity,BROKEN,2,"Xcode project and GoogleService-Info.plist retain com.sixamtech.6amMart","Cannot safely certify signing App Store ownership push or Firebase isolation"
ADMIN PORTAL,Customer-facing email branding fallback,BROKEN,2,"two subscription cancellation mail classes fall back to literal 6am Mart","Missing setting can emit legacy branding"
DATABASE,Default and partial legacy seed data,BROKEN,2,"legacy partial SQL contains 6amMart links/copy; default seed chain creates synthetic operational records","No enforced production/test provenance boundary"
DEPLOYMENT,Duplicate server copies and cache identity,UNKNOWN,0,"Phase 61 proves prior wrong parent Laravel copy; current live SHA/caches/duplicate interception were not re-probed","Current deployment and cache identity require narrow read-only evidence"
NOTIFICATIONS,SMS provider configuration and delivery health,BROKEN,2,"SMSModuleController; SMS_module; SmsGateway; user reports Twilio and 2Factor inactive","Live provider unknown; duplicate gateways; delivery health and response parsing unproven"
NOTIFICATIONS,Actor-specific OTP and password recovery,BROKEN,2,"customer and driver Firebase-or-SMS controllers; Business email broker; no standalone Vendor/Driver OTP implementation found","Channel policy and end-to-end delivery differ by actor and are not certified"
SECURITY,Google reCAPTCHA v3 login path,TESTED LOCALLY,4,"LoginController and focused Admin login regression artifact cover fail-closed score/action/provider cases","Live enablement keys hostname restrictions quota and browser behavior unproven"
SECURITY,Custom CAPTCHA and fallback policy,BROKEN,2,"login Blade/JS and LoginController custom challenge path","Client can select fallback; challenge is reusable; invalid CAPTCHA is outside login-attempt limiter"
PLATFORM SERVICES,Filesystem local/S3 selection,BROKEN,2,"config/filesystems.php and ConfigServiceProvider boolean selector","Selector always resolves to local; S3 credentials/settings are not safely certified"
PLATFORM SERVICES,Private Fashion Fit and generic file storage,BROKEN,3,"UrbanGoodzFileStorageService; FashionFitCustomerController; legacy upload controllers; Admin file library","Owned customer download exists but legacy association and URL paths are contradictory"
BUSINESS PORTAL,Business and driver private documents,BROKEN,3,"BusinessPortalController; UrbanGoodzBusinessClientController; UrbanGoodzDriverActiveJobsController","Sensitive documents are stored on the public disk; medical-document policy absent"
PLATFORM SERVICES,Media backup restore and disaster recovery,BROKEN,2,"no backup package command schedule restore drill or off-site media evidence found","RPO RTO retention encryption and isolated restore proof absent"
CREATORS / REELS,Reels video storage processing and delivery,PARTIALLY WIRED,3,"Reels upload validation persistence range streaming and remote redirect source","Local storage effective; scan transcode CDN moderation lifecycle failover and live proof absent"
