migration,verdict,tables,detail
2023_05_07_152523_create_admin_testimonials_table,"ALREADY REPRESENTED",admin_testimonials,"baseline already contains: admin_testimonials"
2023_05_07_173609_create_flutter_special_criterias_table,"ALREADY REPRESENTED",flutter_special_criterias,"baseline already contains: flutter_special_criterias"
2023_05_08_125811_create_react_testimonials_table,"ALREADY REPRESENTED",react_testimonials,"baseline already contains: react_testimonials"
2023_05_09_170006_create_email_templates_table,"ALREADY REPRESENTED",email_templates,"baseline already contains: email_templates"
2023_05_14_104308_create_react_promotional_banners_table,"ALREADY REPRESENTED",react_promotional_banners,"baseline already contains: react_promotional_banners"
2023_05_16_104129_add_cutlery_processing_time_unavailable_product_note_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (3)"
2023_05_18_093438_add_featured_col_to_categories_table,"ALREADY REPRESENTED",categories,"all added columns present in baseline (1)"
2023_05_18_143530_add_delivery_instruction_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_05_18_163841_add_organic_col_to_items_table,"ALREADY REPRESENTED",items,"all added columns present in baseline (1)"
2023_05_28_153920_add_tax_percentage_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_06_11_172741_add_cutlery_col_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2023_07_05_104537_add_maximum_cart_quantity_col_to_items_table,"ALREADY REPRESENTED",items,"all added columns present in baseline (1)"
2023_07_05_135741_add_service_charge_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_07_05_145800_add_service_charge_col_to_order_transactions_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (1)"
2023_07_05_155429_add_order_proof_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_07_06_124530_add_partially_paid_amount_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_07_06_144944_create_order_payments_table,"ALREADY REPRESENTED",order_payments,"baseline already contains: order_payments"
2023_07_09_120533_add_meta_cols_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (3)"
2023_07_09_143746_create_wallet_payments_table,"ALREADY REPRESENTED",wallet_payments,"baseline already contains: wallet_payments"
2023_07_10_121938_create_wallet_bonuses_table,"ALREADY REPRESENTED",wallet_bonuses,"baseline already contains: wallet_bonuses"
2023_07_10_153950_add_user_id_col_to_expenses_table,"ALREADY REPRESENTED",expenses,"all added columns present in baseline (1)"
2023_07_19_124016_add_maximum_cart_quantity_col_to_item_campaigns_table,"ALREADY REPRESENTED",item_campaigns,"all added columns present in baseline (1)"
2023_08_10_131937_create_offline_payment_methods_table,"ALREADY REPRESENTED",offline_payment_methods,"baseline already contains: offline_payment_methods"
2023_08_10_132315_create_offline_payments_table,"ALREADY REPRESENTED",offline_payments,"baseline already contains: offline_payments"
2023_08_14_123526_create_temp_products_table,"ALREADY REPRESENTED",temp_products,"baseline already contains: temp_products"
2023_08_14_153229_add_is_approved_col_to_items_table,"ALREADY REPRESENTED",items,"all added columns present in baseline (1)"
2023_08_20_143852_add_created_by_col_to_banners_table,"ALREADY REPRESENTED",banners,"all added columns present in baseline (2)"
2023_08_21_115610_add_announcement_cols_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (2)"
2023_08_21_173527_create_guests_table,"ALREADY REPRESENTED",guests,"baseline already contains: guests"
2023_08_22_102914_add_is_guest_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_08_24_123045_create_common_conditions_table,"ALREADY REPRESENTED",common_conditions,"baseline already contains: common_conditions"
2023_08_24_151032_create_pharmacy_item_details_table,"ALREADY REPRESENTED",pharmacy_item_details,"baseline already contains: pharmacy_item_details"
2023_08_26_164947_create_module_wise_banners_table,"ALREADY REPRESENTED",module_wise_banners,"baseline already contains: module_wise_banners"
2023_08_27_123438_create_module_wise_why_chooses_table,"ALREADY REPRESENTED",module_wise_why_chooses,"baseline already contains: module_wise_why_chooses"
2023_08_28_114316_create_flash_sales_table,"ALREADY REPRESENTED",flash_sales,"baseline already contains: flash_sales"
2023_08_28_134428_create_flash_sale_items_table,"ALREADY REPRESENTED",flash_sale_items,"baseline already contains: flash_sale_items"
2023_09_07_131829_create_carts_table,"ALREADY REPRESENTED",carts,"baseline already contains: carts"
2023_09_20_122921_create_store_configs_table,"ALREADY REPRESENTED",store_configs,"baseline already contains: store_configs"
2023_09_23_184806_add_flash_sale_cols_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (2)"
2023_10_08_103818_add_increased_delivery_fee_in_zones_table,"ALREADY REPRESENTED",zones,"all added columns present in baseline (4)"
2023_11_21_123038_create_withdrawal_methods_table,"ALREADY REPRESENTED",withdrawal_methods,"baseline already contains: withdrawal_methods"
2023_11_21_123229_create_disbursement_withdrawal_methods_table,"ALREADY REPRESENTED",disbursement_withdrawal_methods,"baseline already contains: disbursement_withdrawal_methods"
2023_11_21_123320_create_disbursements_table,"ALREADY REPRESENTED",disbursements,"baseline already contains: disbursements"
2023_11_21_123742_add_cols_to_withdraw_requests_table,"ALREADY REPRESENTED",withdraw_requests,"all added columns present in baseline (5)"
2023_11_21_124049_create_disbursement_details_table,"ALREADY REPRESENTED",disbursement_details,"baseline already contains: disbursement_details"
2023_11_21_160728_add_created_by_col_to_account_transactions_table,"ALREADY REPRESENTED",account_transactions,"all added columns present in baseline (2)"
2023_11_23_093859_create_parcel_delivery_instructions_table,"ALREADY REPRESENTED",parcel_delivery_instructions,"baseline already contains: parcel_delivery_instructions"
2024_01_17_105010_create_order_references_table,"ALREADY REPRESENTED",order_references,"baseline already contains: order_references"
2024_04_01_124630_create_cash_backs_table,"ALREADY REPRESENTED",cash_backs,"baseline already contains: cash_backs"
2024_04_01_130213_add_is_halal_col_to_items_table,"ALREADY REPRESENTED",items,"all added columns present in baseline (1)"
2024_04_01_130644_add_body_2_col_to_email_templates_table,"ALREADY REPRESENTED",email_templates,"all added columns present in baseline (1)"
2024_04_01_142631_add_is_prescription_required_col_to_pharmacy_item_details_table,"ALREADY REPRESENTED",pharmacy_item_details,"all added columns present in baseline (1)"
2024_04_02_112611_create_brands_table,"ALREADY REPRESENTED",brands,"baseline already contains: brands"
2024_04_02_122002_create_ecommerce_item_details_table,"ALREADY REPRESENTED",ecommerce_item_details,"baseline already contains: ecommerce_item_details"
2024_04_02_133855_create_cash_back_histories_table,"ALREADY REPRESENTED",cash_back_histories,"baseline already contains: cash_back_histories"
2024_04_04_085842_add_interested_module_ids_col_to_users_table,"ALREADY REPRESENTED",users,"all added columns present in baseline (1)"
2024_04_18_171021_add_halal_extra_packaging_cols_to_store_configs_table,UNKNOWN,,
2024_04_18_171206_add_halal_brand_cols_to_temp_products_table,"ALREADY REPRESENTED",temp_products,"all added columns present in baseline (3)"
2024_04_18_171851_add_cashback_ref_amount_cols_to_temp_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (3)"
2024_04_18_172145_add_extrapackaging_ref_amount_cols_to_temp_order_transactions_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (2)"
2024_05_13_102547_create_subscription_packages_table,"ALREADY REPRESENTED",subscription_packages,"baseline already contains: subscription_packages"
2024_05_13_102612_create_store_subscriptions_table,"ALREADY REPRESENTED",store_subscriptions,"baseline already contains: store_subscriptions"
2024_05_13_104250_create_subscription_transactions_table,"ALREADY REPRESENTED",subscription_transactions,"baseline already contains: subscription_transactions"
2024_05_13_170120_add_store_business_model_col_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2024_05_14_175408_add_reply_col_to_reviews_table,"ALREADY REPRESENTED",reviews,"all added columns present in baseline (3)"
2024_05_16_113516_create_storages_table,"ALREADY REPRESENTED",storages,"baseline already contains: storages"
2024_05_22_115717_create_subscription_billing_and_refund_histories_table,"ALREADY REPRESENTED",subscription_billing_and_refund_histories,"baseline already contains: subscription_billing_and_refund_histories"
2024_05_26_120621_add_subscription_model_to_order_transaction_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (2)"
2024_05_28_110550_add_change_file_column_to_messages_table,"ALREADY REPRESENTED",messages,"all added columns present in baseline (1)"
2024_05_28_112559_add_change_order_attachment_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (2)"
2024_07_07_111841_create_advertisements_table,"ALREADY REPRESENTED",advertisements,"baseline already contains: advertisements"
2024_07_07_112117_create_notification_settings_table,"ALREADY REPRESENTED",notification_settings,"baseline already contains: notification_settings"
2024_07_07_112203_create_store_notification_settings_table,"ALREADY REPRESENTED",store_notification_settings,"baseline already contains: store_notification_settings"
2024_07_10_165721_create_priority_lists_table,"ALREADY REPRESENTED",priority_lists,"baseline already contains: priority_lists"
2024_07_14_182931_add_package_id_col_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2024_07_15_131402_add_replied_at_col_to_reviews_table,"ALREADY REPRESENTED",reviews,"all added columns present in baseline (1)"
2024_07_28_131816_create_external_configurations_table,"ALREADY REPRESENTED",external_configurations,"baseline already contains: external_configurations"
2024_09_11_094735_add_display_name_col_in_zones_table,"ALREADY REPRESENTED",zones,"all added columns present in baseline (1)"
2024_09_11_105938_create_automated_messages_table,"ALREADY REPRESENTED",automated_messages,"baseline already contains: automated_messages"
2024_09_11_134421_add_ordre_id_col_to_messages_table,"ALREADY REPRESENTED",messages,"all added columns present in baseline (1)"
2024_09_12_115801_create_nutritions_table,"ALREADY REPRESENTED",nutritions,"baseline already contains: nutritions"
2024_09_12_120019_create_allergies_table,"ALREADY REPRESENTED",allergies,"baseline already contains: allergies"
2024_09_12_121929_create_allergy_item_table,"ALREADY REPRESENTED",allergy_item,"baseline already contains: allergy_item"
2024_09_12_121941_create_item_nutrition_table,"ALREADY REPRESENTED",item_nutrition,"baseline already contains: item_nutrition"
2024_09_12_142834_add_nutrition_allergy_id_cols_to_temp_products_table,"ALREADY REPRESENTED",temp_products,"all added columns present in baseline (3)"
2024_09_15_112118_create_generic_names_table,"ALREADY REPRESENTED",generic_names,"baseline already contains: generic_names"
2024_09_15_112537_create_item_generic_names_table,"ALREADY REPRESENTED",item_generic_names,"baseline already contains: item_generic_names"
2024_10_21_153431_add_is_email_verified_col_to_users_table,"ALREADY REPRESENTED",users,"all added columns present in baseline (2)"
2024_10_21_153607_add_phone_col_to_password_resets_table,"ALREADY REPRESENTED",password_resets,"all added columns present in baseline (2)"
2024_10_22_103402_create_item_campaign_generic_names_table,"ALREADY REPRESENTED",item_campaign_generic_names,"baseline already contains: item_campaign_generic_names"
2024_10_22_103440_create_allergy_item_campaign_table,"ALREADY REPRESENTED",allergy_item_campaign,"baseline already contains: allergy_item_campaign"
2024_10_22_103509_create_item_campaign_nutrition_table,"ALREADY REPRESENTED",item_campaign_nutrition,"baseline already contains: item_campaign_nutrition"
2024_10_22_133944_add_minimum_stock_for_warning_col_to_store_confg,UNKNOWN,,
2024_11_17_104649_create_cache_table,"ALREADY REPRESENTED","cache,cache_locks","baseline already contains: cache,cache_locks"
2024_12_03_142529_add_to_col_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (2)"
2024_12_12_114152_add_module_type_col_to_subscription_package_table,"ALREADY REPRESENTED",subscription_packages,"all added columns present in baseline (1)"
2024_12_14_131104_add_module_type_to_notification_settings_table,"ALREADY REPRESENTED",notification_settings,"all added columns present in baseline (1)"
2024_12_24_112837_add_to_col_cash_backs_table,"ALREADY REPRESENTED",cash_backs,"all added columns present in baseline (1)"
2024_12_31_170522_add_trip_id_col_to_expense_table,"ALREADY REPRESENTED",expenses,"all added columns present in baseline (1)"
2025_01_01_122538_add_trip_id_to_cash_back_histories,"ALREADY REPRESENTED",cash_back_histories,"all added columns present in baseline (1)"
2025_01_05_140000_add_module_type_col_to_store_notification_settings_table,"ALREADY REPRESENTED",store_notification_settings,"all added columns present in baseline (1)"
2025_02_06_163705_add_temp_product_id_col_to__ecommerce_item_details,"ALREADY REPRESENTED",ecommerce_item_details,"all added columns present in baseline (1)"
2025_03_09_102816_add_module_id_col_to_brands_table,"ALREADY REPRESENTED",brands,"all added columns present in baseline (1)"
2025_03_12_101638_create_recent_searches_table,"ALREADY REPRESENTED",recent_searches,"baseline already contains: recent_searches"
2025_06_01_125609_create_addon_categories_table,"ALREADY REPRESENTED",addon_categories,"baseline already contains: addon_categories"
2025_06_01_130624_add_addon_category_id_col_to_add_ons_table,"ALREADY REPRESENTED",add_ons,"all added columns present in baseline (1)"
2025_06_14_154744_add_discount_data_on_order_details_table,"ALREADY REPRESENTED",order_details,"all added columns present in baseline (5)"
2025_06_25_174502_add_to_cols_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (3)"
2025_07_05_070056_add_tax_type_col_to_order_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2025_07_13_160717_add_charge_type_col_to_module_zone_table,"ALREADY REPRESENTED",module_zone,"all added columns present in baseline (2)"
2025_07_13_185456_create_surge_prices_table,"ALREADY REPRESENTED",surge_prices,"baseline already contains: surge_prices"
2025_07_13_192359_create_surge_price_dates_table,"ALREADY REPRESENTED",surge_price_dates,"baseline already contains: surge_price_dates"
2025_07_22_130717_add_login_remember_token_to_admins_table,"ALREADY REPRESENTED",admins,"all added columns present in baseline (1)"
2025_07_22_130717_add_login_remember_token_to_vendor_employees_table,"ALREADY REPRESENTED",vendor_employees,"all added columns present in baseline (1)"
2025_07_22_130717_add_login_remember_token_to_vendors_table,"ALREADY REPRESENTED",vendors,"all added columns present in baseline (1)"
2025_07_24_123609_add_index_to_items_table,UNKNOWN,items,"no parsable column operation (index/FK-only or dynamic)"
2025_07_24_131029_add_index_to_reviews_table,UNKNOWN,reviews,"no parsable column operation (index/FK-only or dynamic)"
2025_07_24_131340_add_index_to_wishlists_table,UNKNOWN,wishlists,"no parsable column operation (index/FK-only or dynamic)"
2025_07_27_152011_add_index_to_categories_table,UNKNOWN,categories,"no parsable column operation (index/FK-only or dynamic)"
2025_09_15_143154_create_parcel_cancellation_reasons_table,"ALREADY REPRESENTED",parcel_cancellation_reasons,"baseline already contains: parcel_cancellation_reasons"
2025_09_16_173917_create_parcel_cancellations_table,"ALREADY REPRESENTED",parcel_cancellations,"baseline already contains: parcel_cancellations"
2025_09_20_141407_add_bring_change_amount_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (2)"
2025_09_20_155910_create_analytic_scripts_table,"ALREADY REPRESENTED",analytic_scripts,"baseline already contains: analytic_scripts"
2025_09_21_171906_add_section_wise_ai_use_count_to_store_configs,UNKNOWN,,
2025_09_21_174228_add_sender_note_to_withdraw_requests,"ALREADY REPRESENTED",withdraw_requests,"all added columns present in baseline (1)"
2025_09_25_181108_rename_bank_name_to_rejection_note_in_vendors_table,"ALREADY REPRESENTED",vendors,"all added columns present in baseline (1)"
2025_10_23_160409_create_f_a_q_s_table,"ALREADY REPRESENTED",f_a_q_s,"baseline already contains: f_a_q_s"
2025_11_09_014948_create_page_seo_data_table,"ALREADY REPRESENTED",page_seo_data,"baseline already contains: page_seo_data"
2025_11_27_132943_update_identity_image_column_in_delivery_men_table,"ALREADY REPRESENTED",delivery_men,"all added columns present in baseline (4)"
2025_11_27_141050_create_deliveryman_loyalty_point_histories_table,"ALREADY REPRESENTED",deliveryman_loyalty_point_histories,"baseline already contains: deliveryman_loyalty_point_histories"
2025_11_30_093640_create_deliveryman_referral_histories_table,"ALREADY REPRESENTED",deliveryman_referral_histories,"baseline already contains: deliveryman_referral_histories"
2026_01_08_121542_add_meta_data_column_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2026_01_08_150355_create_item_seo_data_table,"ALREADY REPRESENTED",item_seo_data,"baseline already contains: item_seo_data"
2026_01_12_101427_add_is_default_col_to_zones_table,"ALREADY REPRESENTED",zones,"all added columns present in baseline (1)"
2026_01_21_103359_add_slug_to_modules_table,"ALREADY REPRESENTED",modules,"all added columns present in baseline (1)"
2026_01_21_112637_add_slug_column_to_campaigns_table,"ALREADY REPRESENTED",campaigns,"all added columns present in baseline (1)"
2026_01_27_141523_create_parcel_return_fees_table,"ALREADY REPRESENTED",parcel_return_fees,"baseline already contains: parcel_return_fees"
2026_01_27_141620_create_parcel_penalty_fees_table,"ALREADY REPRESENTED",parcel_penalty_fees,"baseline already contains: parcel_penalty_fees"
2026_02_04_152345_add_ride_related_columns_in_d_m_vehicles_table,"ALREADY REPRESENTED",d_m_vehicles,"all added columns present in baseline (8)"
2026_02_04_164604_add_question_column_in_automated_messages_table,"ALREADY REPRESENTED",automated_messages,"all added columns present in baseline (2)"
2026_02_04_165904_add_user_note_col_to_withdraw_requests_table,"ALREADY REPRESENTED",withdraw_requests,"all added columns present in baseline (1)"
2026_02_08_113515_add_rider_wise_topic_to_zones_table,"ALREADY REPRESENTED",zones,"all added columns present in baseline (1)"
2026_03_09_151700_add_extra_discount_amount_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2026_03_25_171011_add_timestamps_to_campaign_store_table,UNKNOWN,campaign_store,"no parsable column operation (index/FK-only or dynamic)"
2026_04_06_000001_add_verified_seller_to_store_configs_table,UNKNOWN,,
2026_04_07_000001_create_user_files_table,"ALREADY REPRESENTED",user_files,"baseline already contains: user_files"
