WORKFLOW ID,ACTOR,STARTING SCREEN,CONTROL,REQUEST,ENDPOINT,MIDDLEWARE,CONTROLLER,SERVICE,TABLES READ,TABLES WRITTEN,INITIAL STATUS,INTERMEDIATE STATUSES,FINAL STATUS,PAYMENT EFFECT,WALLET EFFECT,LEDGER EFFECT,NOTIFICATION EFFECT,REALTIME EFFECT,NEXT ROLE,FINAL USER-VISIBLE RESULT,FAILURE PATH,ROLLBACK PATH,TEST,EVIDENCE,STATUS
OA-01,Customer,Order Anywhere request,Submit request,POST,/api/v1/order-anywhere/requests,"auth:api,throttle:60,1",OrderAnywhereController@store,Order Anywhere NLP/payment/dispatch services,"users,order_anywhere_requests","order_anywhere_requests",draft,quoted-authorized-assigned,purchased/delivered,provider authorize/capture/refund,driver/vendor effects possible,Urban Goodz payment ledger/events,customer/admin/driver notifications,none,Admin/vendor/driver,Request status,Validation/provider/assignment failure,cancel/refund,PHPUnit source exists but full suite not clean,"routes/api/v1/urban_goodz.php and UrbanGoodzPaymentService",PARTIALLY WIRED
PAY-STRIPE-01,Stripe,Webhook,Provider event,POST,/api/v1/urban-goodz/payments/webhooks/stripe,API route/Stripe signature,PaymentWebhookController@handle,StripePaymentGateway,"order_anywhere_requests,payment_ledgers","payment_ledgers,payment_transactions,request status",provider event,signature and idempotency checks,captured/refunded/failed,capture/refund state,dependent wallet effects,ledger event written,logging/notifications downstream,none,Customer/Admin,Updated payment state,Missing secret/signature rejected,provider refund/reconciliation,Payment audit tests; no sandbox webhook artifact,"StripePaymentGateway::validateWebhook fail-closed",PARTIALLY WIRED
PAY-ADYEN-01,Adyen,Webhook,Provider notification,POST,/api/v1/urban-goodz/adyen/webhook,API route/HMAC intended,AdyenWebhookController@handle,AdyenPaymentGateway,"order_anywhere_requests,payment_ledgers","payment_ledgers,payment transactions/request",provider event,HMAC then event mapping,captured/refunded/failed,capture/refund state,dependent wallet effects,ledger event written,logging/notifications downstream,none,Customer/Admin,Updated payment state,Missing/invalid HMAC should reject,provider refund/reconciliation,No trustworthy live/sandbox test,"AdyenPaymentGateway lines 224-230 accept missing HMAC",BROKEN
PAY-STAGED-01,Test harness,Generic staged webhook,Simulated event,POST,/api/v1/urban-goodz/payments/webhooks/staged_test,public API route in non-production,PaymentWebhookController@handle,StagedTestPaymentGateway,"order_anywhere_requests,payment_ledgers","payment state and ledger",test request,no authenticated secret check,simulated final status,no real charge,test-only wallet effects possible,test ledger possible,none,none,Tester,Simulated status,Disabled automatically in production,DB rollback/manual cleanup,Unit tests only,"StagedTestPaymentGateway validates solely by environment/enabled flag",PARTIALLY WIRED
FASHION-01,Customer,Fashion Fit photo guide,Submit photos/analysis,POST,/api/v1/fashion-fit/profiles/{id}/analyses,auth:api,FashionFitCustomerController,ProcessFashionFitAnalysis/FashionFit provider,"measurement profiles/photos","analyses,measurements",profile created,upload-processing-review,approved measurements,none,none,none,provider/customer notifications possible,queue job,Stylist/vendor,Measurement profile and analysis,Consent/upload/provider failure,Delete/correct measurement paths,Backend tests exist; mobile says sizing preview/AI accuracy coming soon,"fashion_fit routes/services and shopper screen",PARTIALLY WIRED
SERVICE-01,Customer,Book Services,Create booking,POST,/api/v1/customer/service-bookings,customer auth expected,ServiceBookingCustomerController,ServiceBookingWorkflow,"providers,services,availability","service requests/status/audit",requested,quoted-accepted-scheduled,completed/canceled,Stripe/sandbox gateway possible,provider earnings effect,service ledger/audit,customer/provider notifications,none,Vendor/provider,Booking status,Validation/availability/payment failure,cancel/refund workflow,Migration/workflow tests exist; shopper screen placeholder,"routes/api/v1/service_bookings.php",PARTIALLY WIRED
LOAD-INTERNAL-01,Business/Dispatcher,Load board,Create/search load,POST,/business/load-board or sourcing endpoint,"business/dispatcher permissions",Business/LoadSourcing controllers,LoadManualImportService/LoadSourcingService,"load sources,external/internal loads,drivers","loads,search history,recommendations",draft/imported,normalized-deduplicated-ranked,published/assigned,payout estimate only,driver earnings after completion,load ledger fields exist,notifications possible,queue sourcing job,Driver,Ranked/assigned load,Validation/eligibility/duplicate rejection,status/audit trail,PHPUnit load-board tests exist but full suite fails elsewhere,"manual/internal adapters and normalizer",PARTIALLY WIRED
LOAD-EXTERNAL-01,Scheduler/Dispatcher,External sourcing,Scheduled search,QUEUE/HTTP,provider APIs,scheduler plus source enablement,ExecuteLoadSourcingSearch,Provider adapters/LoadNormalizer,"load_sources,scheduled searches","external_loads,sync runs,errors",scheduled,provider fetch-normalize-dedupe,ranked external load,referral only unless partner booking supported,none,none,admin/dispatcher alerts possible,queue sourcing,Dispatcher/Driver,External load results,Most adapters fail closed without credentials,recorded error/retry,No provider sandbox artifact,"DAT/Truckstop implementations; five adapters explicit credential blockers",BLOCKED
NOTIFY-01,System,Domain event,Send notification,QUEUE,notifications queue,queue worker,SendFirebaseNotification,UrbanGoodzNotificationService/Firebase transport,"urban_goodz_notifications,preferences","notification delivery status",queued,provider attempt,sent/failed,none,none,none,push/in-app,email channels possible,push delivery,Customer/Vendor/Driver/Admin,Notification visible,Missing credentials/token/worker,retry/failure record,Notification tests exist but device delivery absent,"ShouldQueue job and services",BACKEND ONLY
RENTAL-01,Customer,Rental module,Add vehicle rental to cart,local UI/API intended,not proven end to end,customer auth,rental controllers,legacy rental repositories/models,"rental assets/rates/availability","rental cart/booking intended",browsing,cart-booking-payment,confirmed rental,deposit/payment intended,provider settlement intended,ledger unproven,notifications intended,none,Rental provider/Admin,Booking confirmation,Repository methods unimplemented,cancel/refund intended,No trustworthy test,"shopper taxi_cart_repository methods TODO",BROKEN
CREATOR-01,Customer/Creator,Creator commerce/Reels,Open/buy/tag,API calls intended,/api/v1/urban-goodz/creator-commerce/*,"auth:api,throttle",CreatorCommerceTesterController/creator controllers,Creator services,"creator/reel/product tables","applications/attribution/commission intended",browse,application/tag/purchase,published/attributed,checkout intended,creator payout intended,commission ledger intended,notifications intended,media playback,Creator/Vendor/Customer,Content or purchase result,Tester controller/file-backed routes remain,moderation/refund paths unproven,Contract test currently fails,"route still names CreatorCommerceTesterController; shopper placeholder; vendor mock",BROKEN
AI-COS-01,Admin,No sidebar entry,Direct URL,GET,/admin/urban-goodz/ai-chief-of-staff,"web,admin,current-module,actch:admin_panel; no module permission",AiOperationsController@chiefOfStaff,AiChiefOfStaffService,"ai_tasks,ai_approvals,business_needs,human_action_items,merchant_prospects,orders,vendors","business_needs,human_action_items; overdue human_action_items updated",authenticated,summary queries then diagnostic scan,view intended,none,none,none,none,none,Admin,Executive brief and action links,"Undefined Vendor reference causes runtime error; missing tables also fail","No read-only rollback because GET writes; repair must separate diagnostics from display","service-level feature assertions; Playwright only page.toBeDefined","routes/admin_ai_operations.php:34; RouteServiceProvider:104-107; service:76-185; no sidebar reference",BROKEN
PRICE-LOAD-01,Admin,Admin Dispatch or Load Board,Pricing Rules,GET/POST,/admin/urban-goodz/driver-pricing*,"admin,module:urban_goodz_view plus controller helper checks",UrbanGoodzDriverPricingController,UrbanGoodzDriverPricingService,"urban_goodz_driver_pricing_policies,zones,vehicles,payout requests,earnings","pricing policies,urban_goodz_activity_logs",draft policy,validated persisted policy,active policy,none,payout policy can later change wallet credit,none,none,none,Admin,Pricing policy list and form,"Permission keys are absent from custom-role UI; no policy means uncontrolled fallback amount","History/rollback endpoint exists but requires same helper check","unit payout formulas only; no browser or quote/invoice chain","routes/admin.php:249-258; controller:47-244; service:43-244",PARTIALLY WIRED
PAYOUT-DRIVER-01,Admin,Driver Pricing and Payouts,Approve or Pay,POST,/admin/urban-goodz/driver-payouts/{id}/{approve|pay|reject},"admin,module:urban_goodz_view only",UrbanGoodzDedicatedRouteController,inline payout mutation,"driver_payout_requests,driver_earnings,payment_ledgers","driver_payout_requests,driver_earnings,payment_ledgers",pending,approved then paid,paid database status,no processor call,driver wallet was credited earlier by approved earning,completed outbound ledger row on pay,none,none,Driver,Marked approved or paid,"No dedicated manage authorization; marking paid does not execute external settlement","Manual correction only; no reversal endpoint located","no focused authorization/settlement browser proof","routes/admin.php:237-243; controller:708-803",BROKEN
PAYOUT-DISPATCH-01,Dispatcher,Business Portal Dispatcher,Open Commissions,GET,/business/dispatcher/commissions,"business,dispatcher,dispatch-territory plus dispatch_commissions_view",DispatcherPortalController@commissions,inline commission calculation,"load_board_loads,dispatch_commissions,business_client_users,business_clients",none,commission row created when driver assigned,pending,approved/paid states displayable but no transition endpoint,display-only,None,None,None,None,Admin required but unwired,Commission totals and history,"No wallet/configuration/approval/pay/ledger endpoints located","No settlement or ledger rollback path","no behavioral settlement test","routes/business.php:149-171; controller:219-248,300-325",BROKEN
AI-FINANCE-01,System,Completed route or Order Anywhere split,Calculate payout,service call,internal,"no independent authorization boundary",UrbanGoodzDedicatedRouteController or UrbanGoodzPaymentService,UrbanGoodzDriverPricingService->DynamicPricingService,"pricing policies,route/order data","driver earnings,delivery_man_wallets,order_anywhere_requests",completion/quote,dynamic AI amount calculated,approved earning or persisted split,price/payout changes,DeliveryManWallet total_earning incremented,ledger later only on payout mark-paid,none,none,Admin review intended but bypassed,Payout visible in wallet/record,"Stored recommendation_only/admin_approval_required/live_pricing_enabled/sandbox flags are not checked","No automatic financial reversal","tests cover formulas but not flag enforcement or non-mutation","service:134-147 and 247-279; dedicated route controller:331-355; payment service:393-505",BROKEN
DASH-ADMIN-01,Primary Admin,Admin dashboard,Load page,GET,/admin,"web,admin/current module",DashboardController@dashboard,dashboard_data and urban_goodz_dashboard_data,"items,stores,vendors,orders,order_transactions,wishlists,delivery_men,users,Urban Goodz domain tables","session dash_params only",authenticated,raw counts/rankings/sums,rendered dashboard,legacy gross sale only,none,no reconciliation to urban_goodz_payment_ledgers for legacy gross sale,none,none,Admin,"Urban Goodz cards followed by Legacy Marketplace Metrics","settings context applies inconsistent module filters; top items need not have a store; undefined UG keys fall back to zero","read-only page; data repair requires separate reviewed reconciliation","no focused dashboard integrity test; live screenshots are visual only","DashboardController:329-384,615-665,741-873,900-1074; dashboard.blade.php:40-468 and 469+",BROKEN
SEED-DEFAULT-01,Operator,CLI or deployment runbook,Run database seed,CLI,php artisan db:seed,"console access; no production hard stop proven",DatabaseSeeder,"UserSeeder; MeasurementRequestSeeder; UrbanGoodzLoadBoardSeeder; UrbanGoodzTestVendorSeeder","users,modules,zones,vendors,stores,storage,measurement_requests,urban_goodz_load_board_loads","same tables plus other reference tables",connected database,synthetic records created,seed command completes,none,none,none,none,none,Admin/tester,"Fake users test vendor tester record and synthetic loads become operationally visible","Fixed credentials and production-like rows contaminate data; partial failure may leave mixed state","Restore only from reviewed backup or delete using provenance that does not yet exist","no environment-guard behavior test","DatabaseSeeder:17-29; UserSeeder:17-19; UrbanGoodzTestVendorSeeder:39-163; UrbanGoodzLoadBoardSeeder",BROKEN
MOBILE-AUTH-01,Shopper,Login remember-me flow,Remember credentials,local persistence,SharedPreferences,"device sandbox only; no secure-storage boundary",AuthRepository@saveUserNumberAndPassword,SharedPreferences,"existing preference keys","6ammart_user_password; user number; country code",authenticated,password persisted,subsequent auto-fill/retrieval,none,none,none,none,none,Shopper,"Remembered login fields","Device backup compromise or local access exposes password","Clear legacy password key during versioned upgrade and invalidate unsafe persistence","no secure-storage migration behavior test","Shopper auth_repository.dart:236-265; app_constants.dart:416",BROKEN
MOBILE-IOS-01,Shopper,App launch/push/auth,Build and run iOS app,native build,Firebase/iOS bundle,"iOS signing and Firebase configuration",Flutter Runner,Firebase SDK,"legacy Firebase project at runtime","push/auth/analytics data may be sent to legacy project",build-time configuration,app launch and Firebase initialization,unknown,none,none,none,push identity affected,none,Shopper,"iOS app and notifications intended","Bundle com.sixamtech.6amMart and legacy Firebase project conflict with owned Urban Goodz identity","Provision owned bundle/app then deploy exact signed build; rollback to prior signed build only","no owned-project staging/device evidence","ios/Runner.xcodeproj/project.pbxproj; ios/GoogleService-Info.plist",BROKEN
OTP-ACTOR-01,"Shopper, Driver, Vendor, Business",Registration verification or password recovery,Request OTP or reset,"POST/varies","customer/driver auth endpoints and /business/forgot-password","guest throttles vary by controller","CustomerAuthController; PasswordResetController; DMPasswordResetController; BusinessForgotPasswordController","Firebase OTP or SMS gateway; Business password broker","business_settings,addon_settings,password_resets,actor tables","OTP/reset records where applicable",guest,provider selection and token generation,verified reset or delivery failure,none,none,none,SMS/email/Firebase delivery,none,Same actor,Generic verification/reset outcome,"not_found or provider error; actor behavior differs","Expire token and invalidate session","source inspection only; no provider/device run","controllers and gateway traits listed in SMS/CAPTCHA/storage report",BROKEN
OTP-PROVIDER-02,Any SMS actor,OTP dispatch,Send through active provider,HTTP,"external provider API","application/provider credentials","SMS_module or SmsGateway","Twilio/Nexmo/2Factor/MSG91/Alphanet","addon_settings,business_settings","provider-side message only",queued locally/provider request,transport response,reported success or error,none,none,none,SMS delivery,none,Same actor,OTP receipt or attributable error,"2Factor can report success without parsing provider rejection","Disable provider and invalidate OTP","no focused delivery tests or live evidence","duplicate gateway source and 2Factor cURL handling",BROKEN
CAPTCHA-ADMIN-03,Admin,Admin login,CAPTCHA submit,POST,/login_submit,actch,LoginController,"Google siteverify or Gregwar session comparison","business_settings,sessions","session/login state",guest,CAPTCHA validation,login continues or rejects,none,none,none,none,none,Admin login,Generic CAPTCHA error or credential flow,"client-controlled set_default_captcha can force custom fallback; custom phrase reusable and separately unthrottled","Reload challenge and reject request","focused Google edge tests and basic custom mismatch tests; no fallback/replay test","LoginController and auth login Blade/partial",BROKEN
STORAGE-PRIVATE-04,"Customer, Business, Driver, Admin",Upload/download screens,Upload or download private document,"POST/GET","Urban Goodz files Fashion Fit Business documents driver certifications","auth:api or business/admin middleware","file upload controllers and portal controllers",UrbanGoodzFileStorageService and Laravel Storage,"urban_goodz_files,measurement profiles,business client documents,driver certifications","file metadata and filesystem objects",authenticated,validation and storage,stored/downloaded or rejected,none,none,none,none,none,Owning actor or authorized Admin,Private document available to authorized user,"legacy associations lack ownership proof; business/driver files use public disk; private URLs contradictory","Delete object and metadata under approved workflow","source inspection only; negative cross-owner tests absent","storage report and named controllers",BROKEN
REELS-MEDIA-05,"Admin, Vendor, Shopper",Reels create/feed,Upload then stream video,"POST/GET","Reels module routes","admin/vendor auth for write; public/API rules for read","Reel controllers",ReelApiService and Laravel Storage,"reels,reel_storage,reel_engagements","reels and filesystem objects",draft/uploaded,publication and moderation states,active or unavailable,none,none,none,none,view/like counters,Shopper feed,Validated video streamed with ranges,"local storage dependency; no proven scan transcode CDN backup or failover","Delete reel object/metadata","source validation only; no production media run","Modules/ReelsModule controllers requests and service",PARTIALLY WIRED
