ID,SURFACE,COMPONENT,PATH OR PATTERN,CLASSIFICATION,RUNTIME REACHABLE,DIRECT EVIDENCE,RISK,REQUIRED DISPOSITION
L6-016,Seeders,Synthetic operational load board,"database/seeders/UrbanGoodzLoadBoardSeeder.php",DEMO OR TEST DATA,YES IF RUN,"Creates 25 branded synthetic loads with 555 phone numbers and payout amounts",Critical operational contamination,"Remove from default seeder; add explicit provenance and test-only guard"
L6-017,Seeders,Live tester measurement record,"database/seeders/MeasurementRequestSeeder.php",DEMO OR TEST DATA,YES IF RUN,"Creates or updates an Urban Goodz live tester seed record",High privacy/workflow contamination,"Remove from default seeder; keep only in isolated fixtures"
L6-018,Seeders,Legacy fixed master Admin,"database/seeders/AdminSeeder.php",UNSAFE,YES IF RUN,"Creates admin@admin.com with a known fixed password and legacy identity fields",Critical account takeover if deployed,"Never run in production; replace with environment-gated bootstrap flow"
L6-019,Database imports,Inherited email templates,"database/partial/email_tempaltes.sql",LEGACY DATA,YES IF IMPORTED,"30 matched lines contain 6amMart copyright demo host and old sixam delivery-app URLs",High visible-branding and wrong-link risk,"Quarantine from production installation and rebuild approved Urban Goodz templates"
L6-020,Database imports,Inherited landing settings,"database/partial/data_settings.sql",LEGACY DATA,YES IF IMPORTED,"Contains 6amMart company copy demo/admin URLs and legacy mobile package links",High visible-branding and redirect risk,"Quarantine; never import without deterministic Urban Goodz transformation and verification"
L6-021,Database imports,Inherited add-on metadata,"database/partial/addon_settings.sql",LEGACY DATA,YES IF IMPORTED,"SQL header identifies database 6amMart",Low alone; unknown row provenance,"Classify each row before use; header alone is not runtime proof"
L6-022,Mail,Subscription cancellation brand fallback,"app/Mail/SubscriptionCancel.php:41; Modules/Rental/Emails/ProviderSubscriptionCancel.php:43",UNSAFE,YES,"Missing email_address setting falls back to literal 6am Mart",High customer-facing contamination,"Replace with a required validated Urban Goodz setting and add missing-setting mail tests"
L6-023,Blade email settings,Legacy translation-key placeholders,"Modules/Rental/Resources/views/admin/business-settings/email-format-setting/**/*.blade.php",LEGACY BUT STILL REFERENCED,YES,"28 Blade files use Ex:_Copyright_2023_6amMart translation key; English value is currently Urban Goodz",Medium localization regression risk,"Migrate keys with backward-compatible aliases and test every enabled locale"
L6-024,Localization,Legacy translation keys,"resources/lang/en/messages.php; resources/lang/ar/messages.php",CUSTOMIZED AND ACTIVE,YES,"14 English and 11 Arabic matches largely map inherited keys to Urban Goodz values",Medium if deleted,"Retain compatibility until callers are migrated; remove stray non-product text after full key census"
L6-025,External dependency,6amTech license checks,"app/CentralLogics/Helpers.php:3490-3502",LEGACY BUT STILL REFERENCED,YES,"Posts license data to store.6amtech.com and uses check.6amtech.com",High external availability/privacy/license dependency,"Document payload purpose and legal requirement; fail safely; replace only with approved licensing decision"
L6-026,External dependency,6amTech setup/support links,"resources/views/admin-views/business-settings/fcm-index*.blade.php; resources/views/installation/step*.blade.php; email-template-options.blade.php",LEGACY BUT STILL REFERENCED,YES,"Admin/installer links open docs.6amtech.com or support.6amtech.com",Medium operator confusion/external dependency,"Replace with Urban Goodz runbooks where owned; keep vendor docs only when explicitly required"
L6-027,Configuration,Realtime example credentials," .env.example:47-56",UNSAFE,NO BY ITSELF,"REVERB and PUSHER app id key and secret default to 6ammart",High unsafe-copy/default risk,"Use empty required placeholders and document secret provisioning; never print real values"
L6-028,Realtime,Shopper hard-coded WebSocket key and LAN fallback,"lib/helper/pusher_helper.dart:23-28 in Shopper repo",UNSAFE,YES,"Fallback host is 192.168.1.62 and key is literal 6ammart",High outage/misrouting risk,"Load all values from validated environment/config and fail closed outside an explicit local profile"
L6-029,Modules,Tax module project discriminator,"Modules/TaxModule/Config/config.php; VatTaxConfiguration.php; SystemTaxVatSetupController.php",REQUIRED FOUNDATION,YES,"Tax behavior branches on project identifier 6ammart",High if renamed without vendor contract analysis,"Retain as an internal compatibility contract until upstream module behavior is mapped"
L6-030,Modules,Reels module project identifier,"Modules/ReelsModule/Config/config.php:5",LEGACY BUT STILL REFERENCED,UNKNOWN,"Configuration says project 6ammart; no live provider behavior was proven",Unknown,"Trace all consumers before renaming or removing"
L6-031,Updates,Legacy-vendor-hosted web app URL,"app/Http/Controllers/UpdateController.php:71",LEGACY BUT STILL REFERENCED,YES WHEN UPDATE DEFAULTS RUN,"Default URL is urban-goodz-web.6amtech.com",Medium ownership/availability risk,"Confirm domain ownership and replace with canonical Urban Goodz URL if not intentionally hosted"
L6-032,Assets,CSS vendor attribution,"public/assets/installation/assets/css/style.css:5-6",OBSOLETE,INSTALLER ONLY,"Comment metadata names 6amtech author and URL",Low,"Remove or update only after license/attribution review"
L6-033,Assets,Urban Goodz legacy-color override comment,"public/assets/landing/css/ug-landing.css:17",CUSTOMIZED AND ACTIVE,YES,"Comment documents that UG orange replaces inherited orange; no legacy asset path is referenced",None,"Retain or simplify during normal CSS cleanup"
L6-034,JavaScript,Inherited Laravel Mix dependency graph,"package.json; package-lock.json",REQUIRED FOUNDATION,BUILD TIME,"Axios Laravel Echo Mix lodash PostCSS and Pusher build current assets",Medium if changed without build proof,"Retain dependencies; modernize through a separate tested build migration"
L6-035,Package metadata,Backend-6amMart lockfile name,"package-lock.json:2",OBSOLETE,BUILD METADATA,"Lockfile name is Backend-6amMart while package.json has no name",Low but misleading,"Regenerate deterministically after approved package metadata change and dependency build verification"
L6-036,Developer metadata,Legacy workspace file,"resources/views/layouts/admin/partials/6ammart-backend.code-workspace",OBSOLETE,NO,"Workspace points five levels up to repository root and is stored inside views",Low clutter,"Remove in a cleanup-only commit after confirming no tooling dependency"
L6-037,Cron,Legacy MAMP cron-removal script,"script.sh",UNSAFE,YES IF OPERATOR RUNS,"Removes disbursement cron lines under /Applications/MAMP/htdocs/Backend-6amMart",High wrong-environment/cron risk,"Quarantine or replace with a reviewed environment-neutral runbook; never run on production"
L6-038,Scheduler,Current Urban Goodz scheduler,"app/Console/Kernel.php",CUSTOMIZED AND ACTIVE,YES WHEN CRON RUNS,"Schedules AI copilot every 15 minutes and two sourcing commands every 30 minutes",High if worker/cron state differs,"Retain; prove production cron worker locks retries and failure reporting read-only"
L6-039,Queues,Inherited and Urban Goodz jobs,"app/Jobs/*.php; notification sourcing fashion-fit and location queues",CUSTOMIZED AND ACTIVE,YES WHEN WORKERS RUN,"Four queued jobs use default notifications fashion-fit and sourcing queues",High if workers absent,"Retain; certify queue topology retries failed-job handling and redaction"
L6-040,Shopper package,Dart package namespace,"pubspec.yaml name sixam_mart; 734 Dart files with 5698 package:sixam_mart imports",REQUIRED FOUNDATION,YES,"The internal import graph is built around the sixam_mart package name",Critical if renamed wholesale,"Treat as internal compatibility namespace; rename only as a dedicated mechanically verified migration"
L6-041,Shopper package,Android application identity,"android/app/build.gradle.kts",CUSTOMIZED AND ACTIVE,YES,"namespace and applicationId are com.urbangoodz.customer",Low,"Retain; verify signing and store ownership separately"
L6-042,Shopper package,iOS bundle identity,"ios/Runner.xcodeproj/project.pbxproj",UNSAFE,YES FOR IOS BUILD,"Runner remains com.sixamtech.6amMart and tests remain com.sixamtech.sixammartUserApp.RunnerTests",Critical signing/store/Firebase collision risk,"Change to an owned Urban Goodz bundle through an iOS signing and Firebase migration"
L6-043,Firebase,Shopper iOS configuration,"ios/GoogleService-Info.plist",UNSAFE,YES FOR IOS BUILD,"BUNDLE_ID is com.sixamtech.6amMart and PROJECT_ID is stackmart-500c7",Critical cross-project notification/auth/data risk,"Provision owned Urban Goodz iOS Firebase app; rotate/configure through secrets process; do not reuse legacy file"
L6-044,Firebase,Shopper Android configuration,"android/app/google-services.json",UNKNOWN,YES FOR ANDROID BUILD,"Project is urbaneatz and contains six app registrations including com.urbangoodz.customer",High ownership/cross-app isolation uncertainty,"Prove project ownership IAM data isolation and package-specific credentials without exposing secrets"
L6-045,Shopper storage,Legacy shared-preference namespace,"lib/util/app_constants.dart:409-457",LEGACY BUT STILL REFERENCED,YES,"Token cart language wallet and other keys retain 6ammart prefix",Medium migration/session risk,"Keep compatibility while introducing a versioned migration; do not mass-rename keys"
L6-046,Shopper security,Plaintext remembered password,"lib/features/auth/domain/reposotories/auth_repository.dart:236-265",UNSAFE,YES,"Password is written to SharedPreferences under 6ammart_user_password and read back as a string",Critical credential exposure,"Stop persisting passwords; use OS secure tokens/biometrics and test upgrade cleanup"
L6-047,Shopper navigation,Inherited marketplace navigation and Urban Goodz additions,"lib/helper/route_helper.dart; dashboard/home navigation",CUSTOMIZED AND ACTIVE,YES,"Urban Goodz screens coexist in the same route helper as inherited store cart checkout order and parcel screens",Medium duplication/dead-route risk,"Retain working foundation; remove or feature-gate placeholders based on product decisions"
L6-048,Shopper artifact,Legacy text clipping,"sixammart_user_app.textClipping",OBSOLETE,NO PROVEN RUNTIME,"Legacy-named developer artifact exists at repository root",Low,"Inspect for unique content then remove in cleanup if unreferenced"
L6-049,Vendor app,Package and navigation implementation,"UrbanGoodz_Vendor_App",DUPLICATE IMPLEMENTATION,YES,"Separate Flutter shell uses com.urbangoodz.urban_goodz_vendor and contains no direct 6amMart identifiers, while inherited vendor web/backend also exists",High product/contract divergence risk,"Choose canonical vendor capabilities and API contracts; eliminate mock divergence before launch"
L6-050,Driver app,Package and navigation implementation,"UrbanGoodz_Driver_App",DUPLICATE IMPLEMENTATION,YES,"Separate Flutter shell uses com.urbangoodz.urban_goodz_driver and contains no direct 6amMart identifiers, while inherited delivery-man backend/app concepts remain",High earnings/job contract divergence risk,"Choose canonical driver contract and replace mock repositories with authenticated APIs"
L6-051,Brand settings,Database-backed branding records,"business_settings; data_settings; email_templates and translated rows",UNKNOWN,YES,"Source supports DB overrides and live screenshots prove some current Urban Goodz copy, but no read-only live export was reviewed",High hidden-branding risk,"Export only relevant keys read-only with provenance; compare against approved Urban Goodz baseline"
L6-052,Duplicate deployments,Parent and corrected Admin Laravel copies,"production hosting paths documented in Phase 61 DCP",UNKNOWN,YES,"Prior incident proved the wrong parent copy served traffic; last documented corrected public root is /home/urbakkej/admin.urbangoodzdelivery.com/AdminPanel_Update_V39/public",Critical recurrence risk,"Prove current document root live SHA and absence of intercepting parent rules read-only before deployment"
L6-053,Caches,Production route config view and application caches,"production runtime",UNKNOWN,YES,"No production cache read or clear was authorized; local bootstrap/cache contains only .gitignore",High stale-code/duplicate-deployment confusion,"Capture read-only cache/deploy identity evidence; clear only during an approved exact-SHA deployment in prescribed order"
