TASK ID,PRIORITY,SURFACE,PROBLEM,EVIDENCE,ROOT CAUSE,FILES,DATABASE TABLES,DEPENDENCIES,SAFE PARALLEL LANE,ASSIGNED AGENT TYPE,ESTIMATED ENGINEERING HOURS,IMPLEMENTATION,TEST,ACCEPTANCE CRITERIA,ROLLBACK,BLOCKS TESTERS,BLOCKS DEPLOYMENT,STATUS
P0-11,P0,AI Chief of Staff,Fix undefined Vendor reference and synthetic inventory count,focused service tests with real fixtures,Current source/evidence does not satisfy the stated AI Chief of Staff control boundary; see inventory and wiring trace.,app/Services/UrbanGoodz/AiChiefOfStaffService.php; tests/Feature/UrbanGoodzAiWorkforceTest.php,vendors; items; orders; business_needs; human_action_items,P0-10,"LANE G — AI, dynamic pricing, load sourcing",Senior AI/backend safety engineer,8,Fix undefined Vendor reference and synthetic inventory count,focused service tests with real fixtures,diagnostic read path uses correct model and real query; no hard-coded operational count,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-12,P0,AI Chief of Staff,Implement action taxonomy and approval boundary,tests for insight/recommend/approved/automated/prohibited classes,Current source/evidence does not satisfy the stated AI Chief of Staff control boundary; see inventory and wiring trace.,app/Services/UrbanGoodz/AiChiefOfStaffService.php; app/Services/UrbanGoodz/AIActionValidator.php; approval tests,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-10,"LANE G — AI, dynamic pricing, load sourcing",Senior AI/backend safety engineer,40,Implement action taxonomy and approval boundary,tests for insight/recommend/approved/automated/prohibited classes,sensitive financial/security/deletion actions are structurally prohibited,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-13,P0,AI Chief of Staff,Add attributed audit records and error isolation,audit/error behavioral tests,Current source/evidence does not satisfy the stated AI Chief of Staff control boundary; see inventory and wiring trace.,app/Services/UrbanGoodz/AiChiefOfStaffService.php; AI audit models/migrations; audit tests,ai_audit_events; ai_action_logs; ai_approvals; business_needs; human_action_items,P0-12,"LANE G — AI, dynamic pricing, load sourcing",Senior AI/backend safety engineer,24,Add attributed audit records and error isolation,audit/error behavioral tests,every recommendation/approval/execution has actor evidence and bounded failure handling,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-14,P0,Database,Recover authoritative clean installation schema,sanitized schema-only export plus diff report,Current source/evidence does not satisfy the stated Database control boundary; see inventory and wiring trace.,database/schema or reviewed baseline migrations; migration CI,orders and all committed migration targets,Read-only authoritative schema access,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,40,Recover authoritative clean installation schema,sanitized schema-only export plus diff report,empty disposable database can migrate successfully from committed source,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-15,P0,Database,Fix test FK teardown ordering defects,focused affected tests,Current source/evidence does not satisfy the stated Database control boundary; see inventory and wiring trace.,tests/Feature/UrbanGoodzAiCopilotTest.php; tests/Feature/UrbanGoodzAiMigrationTest.php,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-14,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,8,Fix test FK teardown ordering defects,focused affected tests,two known test-code FK errors no longer fail on a correct schema,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-16,P0,Testing,Produce clean full-suite baseline on disposable database,JUnit and text artifacts with checksums,Current source/evidence does not satisfy the stated Testing control boundary; see inventory and wiring trace.,phpunit configuration; database schema baseline; docs/qa/evidence,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-14,"LANE K — E2E tests, Appium, Playwright, evidence",QA automation and evidence reviewer,24,Produce clean full-suite baseline on disposable database,JUnit and text artifacts with checksums,zero unexplained errors; every expected skip named,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-17,P0,Testing,Execute staging Admin auth and authorization browser certification,restricted staging URL and artifact controls,Current source/evidence does not satisfy the stated Testing control boundary; see inventory and wiring trace.,tests/Browser/AdminLoginTest.spec.js; Playwright config; restricted artifacts,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-16,"LANE K — E2E tests, Appium, Playwright, evidence",QA automation and evidence reviewer,16,Execute staging Admin auth and authorization browser certification,restricted staging URL and artifact controls,authorized/restricted non-primary users prove permission boundary and logout/session behavior,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-18,P0,Testing,Replace false-positive browser assertions,reviewed selectors/network/status assertions,Current source/evidence does not satisfy the stated Testing control boundary; see inventory and wiring trace.,tests/playwright/*.spec.js; tests/Browser/*.spec.js,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,None,"LANE K — E2E tests, Appium, Playwright, evidence",QA automation and evidence reviewer,16,Replace false-positive browser assertions,reviewed selectors/network/status assertions,no page-toBeDefined or URL-not-500 substitute for rendered protected content,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-19,P0,Pricing,Inventory every pricing screen and downstream consumer,route/menu/controller/table matrix,Current source/evidence does not satisfy the stated Pricing control boundary; see inventory and wiring trace.,routes/admin.php; routes/business.php; Admin and Business pricing views/controllers; inventory matrix,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,None,"LANE G — AI, dynamic pricing, load sourcing",Senior AI/backend safety engineer,24,Inventory every pricing screen and downstream consumer,route/menu/controller/table matrix,loads medical routes packages rentals creators services business billing each has explicit disposition,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-20,P0,Payouts,Inventory every payout commission wallet ledger and settlement path,money-flow matrix and ownership tests,Current source/evidence does not satisfy the stated Payouts control boundary; see inventory and wiring trace.,payout/wallet/ledger controllers services models routes; wiring matrix,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,None,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,32,Inventory every payout commission wallet ledger and settlement path,money-flow matrix and ownership tests,all balance-changing endpoints have permission idempotency audit and reversal evidence,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-21,P0,Pricing,Build central Pricing and Payout Control Center specification,approved UX/domain design and threat model,Current source/evidence does not satisfy the stated Pricing control boundary; see inventory and wiring trace.,new reviewed pricing/payout control-center specification; no implementation before approval,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-19;P0-20,"LANE G — AI, dynamic pricing, load sourcing",Senior AI/backend safety engineer,24,Build central Pricing and Payout Control Center specification,approved UX/domain design and threat model,equation shows price minus payouts commissions costs fees equals gross margin,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-22,P0,Dispatcher,Implement dispatcher commission wallet and payout history,behavioral business/admin cross-role tests,Current source/evidence does not satisfy the stated Dispatcher control boundary; see inventory and wiring trace.,routes/business.php; DispatcherPortalController.php; dispatcher commission views/models,urban_goodz_dispatch_commissions; urban_goodz_business_clients; urban_goodz_load_board_loads,P0-20,"LANE C — Public site, registration, Business and Dispatcher portals",Senior full-stack domain engineer,32,Implement dispatcher commission wallet and payout history,behavioral business/admin cross-role tests,dispatcher sees earned/approved/paid amounts; cannot adjust ledger,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-23,P0,Dispatcher,Implement commission configuration and Admin approval,permission and persistence tests,Current source/evidence does not satisfy the stated Dispatcher control boundary; see inventory and wiring trace.,routes/admin.php; business client/dispatcher controllers; commission models/views; authorization tests,urban_goodz_dispatch_commissions; urban_goodz_business_clients; urban_goodz_payment_ledgers,P0-22,"LANE C — Public site, registration, Business and Dispatcher portals",Senior full-stack domain engineer,32,Implement commission configuration and Admin approval,permission and persistence tests,configuration is versioned; final adjustment restricted to authorized Admin,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-24,P0,Payments,Prove quote checkout invoice split and ledger propagation,cross-feature deterministic money fixtures,Current source/evidence does not satisfy the stated Payments control boundary; see inventory and wiring trace.,UrbanGoodzPaymentService.php; checkout/quote/invoice controllers; payment ledger/split tests,orders; order_transactions; order_anywhere_requests; urban_goodz_payment_ledgers; urban_goodz_payment_splits; wallets,P0-21,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,40,Prove quote checkout invoice split and ledger propagation,cross-feature deterministic money fixtures,same immutable rule snapshot reconciles quote invoice capture payout and ledger,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-25,P0,Dashboard,Reconcile every dashboard metric to one documented query and scope,metric catalog plus fixture-based tests,Current source/evidence does not satisfy the stated Dashboard control boundary; see inventory and wiring trace.,DashboardController.php; dashboard.blade.php; dashboard metric tests,items; stores; vendors; users; delivery_men; orders; order_transactions; Urban Goodz domain tables,P0-14,"LANE A — Admin, authentication, permissions, security",Senior full-stack domain engineer,32,Reconcile every dashboard metric to one documented query and scope,metric catalog plus fixture-based tests,cards charts and rankings use consistent zone module period and lifecycle definitions,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-26,P0,Data Integrity,Audit item store vendor order and transaction relationships,read-only orphan report from sanitized copy,Current source/evidence does not satisfy the stated Data Integrity control boundary; see inventory and wiring trace.,read-only reconciliation command/report; Item Store Vendor Order OrderTransaction relationship tests,items; stores; vendors; orders; order_details; order_transactions,P0-14,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,32,Audit item store vendor order and transaction relationships,read-only orphan report from sanitized copy,every production-ranked item has valid active ownership or is quarantined; no destructive cleanup without review,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-27,P0,Data Governance,Separate demo seed imported sandbox and production records,provenance schema design migration tests and data-classification report,Current source/evidence does not satisfy the stated Data Governance control boundary; see inventory and wiring trace.,provenance migration/model scopes; import/seed tooling; KPI tests,items; stores; orders; imports plus new reviewed provenance fields,P0-26,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,40,Separate demo seed imported sandbox and production records,provenance schema design migration tests and data-classification report,non-production records cannot enter production KPIs rankings invoices payouts or recommendations,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-28,P0,Finance,Reconcile marketplace orders and gross sales to money and actors,order-to-transaction-to-provider-to-ledger report,Current source/evidence does not satisfy the stated Finance control boundary; see inventory and wiring trace.,DashboardController.php; payment/order transaction/ledger reconciliation service and tests,orders; order_transactions; payment transactions; payment ledgers; wallets; payouts,P0-24;P0-26,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,40,Reconcile marketplace orders and gross sales to money and actors,order-to-transaction-to-provider-to-ledger report,every reported dollar resolves to customer vendor driver provider event and ledger or a named exception,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-29,P0,Dashboard,Design modern Urban Goodz Operations dashboard,approved information architecture metric definitions and permission map,Current source/evidence does not satisfy the stated Dashboard control boundary; see inventory and wiring trace.,approved dashboard specification; dashboard Blade/controller/view-model after metric approval,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-25;P0-28,"LANE A — Admin, authentication, permissions, security",Senior full-stack domain engineer,40,Design modern Urban Goodz Operations dashboard,approved information architecture metric definitions and permission map,premium role-aware dashboard prioritizes alerts money operations fulfillment and data quality with drill-through evidence,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-30,P0,Data Governance,Make the default seeder production-safe,environment-guard tests plus before/after disposable database inventory,Current source/evidence does not satisfy the stated Data Governance control boundary; see inventory and wiring trace.,database/seeders/DatabaseSeeder.php; synthetic seeders; environment-guard tests,users; vendors; stores; storage; measurement_requests; urban_goodz_load_board_loads; reference tables,P0-14,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,24,Make the default seeder production-safe,environment-guard tests plus before/after disposable database inventory,Normal db:seed cannot create fake users fixed-credential accounts tester records or synthetic loads outside an explicit disposable test environment,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-31,P0,Mobile Security,Remove Shopper plaintext password persistence,upgrade migration test device-storage inspection and login/session tests,Current source/evidence does not satisfy the stated Mobile Security control boundary; see inventory and wiring trace.,Shopper lib/features/auth/domain/reposotories/auth_repository.dart; app_constants.dart; upgrade tests,device local storage only; no production database mutation,None,LANE D — Shopper application,Senior Flutter integration engineer,24,Remove Shopper plaintext password persistence,upgrade migration test device-storage inspection and login/session tests,No password remains in SharedPreferences backup artifacts logs or migrated storage; safe token/session behavior remains,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-32,P0,Mobile Identity,Provision owned Shopper iOS bundle and Firebase app,signing entitlement Firebase project/package and staging device evidence,Current source/evidence does not satisfy the stated Mobile Identity control boundary; see inventory and wiring trace.,Shopper ios/Runner.xcodeproj/project.pbxproj; owned Firebase configuration delivered through approved secret workflow,Firebase project resources only; no database migration,Owned Apple and Firebase access,LANE D — Shopper application,Senior Flutter integration engineer,40,Provision owned Shopper iOS bundle and Firebase app,signing entitlement Firebase project/package and staging device evidence,iOS bundle belongs to Urban Goodz and push/auth/analytics use an approved isolated project without legacy vendor identifiers,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-33,P0,Realtime,Remove legacy realtime defaults and hard-coded mobile fallback,configuration negative tests and non-production connection evidence,Current source/evidence does not satisfy the stated Realtime control boundary; see inventory and wiring trace.,.env.example; Shopper lib/helper/pusher_helper.dart; realtime configuration tests,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,Approved staging realtime configuration,"LANE J — Notifications, Firebase, queues, cron, webhooks",Senior full-stack domain engineer,16,Remove legacy realtime defaults and hard-coded mobile fallback,configuration negative tests and non-production connection evidence,Missing realtime configuration fails closed; no 6ammart credential or private-LAN fallback can run outside an explicit local profile,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-34,P0,Branding,Eliminate runtime legacy mail fallback and quarantine legacy SQL imports,mail rendering tests installation/import source guards and all-locale branding scan,Current source/evidence does not satisfy the stated Branding control boundary; see inventory and wiring trace.,app/Mail/SubscriptionCancel.php; Modules/Rental/Emails/ProviderSubscriptionCancel.php; database/partial/*.sql; mail/import tests,business_settings; data_settings; email_templates,P0-14,"LANE L — Deployment, environments, release artifacts",Senior full-stack domain engineer,24,Eliminate runtime legacy mail fallback and quarantine legacy SQL imports,mail rendering tests installation/import source guards and all-locale branding scan,No customer/admin message falls back to 6amMart and legacy partial SQL cannot enter an approved production install,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-35,P0,Deployment,Prove exact live identity branding records duplicate-copy state and caches,read-only SHA document-root vhost/htaccess relevant-setting and cache identity evidence,Current source/evidence does not satisfy the stated Deployment control boundary; see inventory and wiring trace.,deployment evidence/runbook only; no production mutation; relevant branding/cache/document-root identity artifacts,read-only production identity/settings/cache evidence only,Read-only production access,"LANE L — Deployment, environments, release artifacts",Senior full-stack domain engineer,16,Prove exact live identity branding records duplicate-copy state and caches,read-only SHA document-root vhost/htaccess relevant-setting and cache identity evidence,Current live SHA and root are attributable; no parent copy intercepts traffic; narrow branding/cache state matches approved source,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P1-01,P1,Payments,Require authenticated signed staging-test webhooks,negative and positive signature tests,Current source/evidence does not satisfy the stated Payments control boundary; see inventory and wiring trace.,Resolve exact scoped files from URBAN_GOODZ_WIRING_TRACE_MATRIX.csv before implementation,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-16,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,8,Require authenticated signed staging-test webhooks,negative and positive signature tests,non-production simulator cannot mutate state without explicit secret,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,NO,NOT STARTED
P1-02,P1,Payments,Add provider reconciliation jobs and exception queue,sandbox reconciliation artifacts,Current source/evidence does not satisfy the stated Payments control boundary; see inventory and wiring trace.,Resolve exact scoped files from URBAN_GOODZ_WIRING_TRACE_MATRIX.csv before implementation,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-08,"LANE B — Database, orders, payments, ledgers",Senior backend/database/security engineer,32,Add provider reconciliation jobs and exception queue,sandbox reconciliation artifacts,provider state and ledger divergence is detected and reviewable,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,NO,NOT STARTED
P1-03,P1,Permissions,Create complete Admin module permission matrix,generated permission-route-menu matrix,Current source/evidence does not satisfy the stated Permissions control boundary; see inventory and wiring trace.,Resolve exact scoped files from URBAN_GOODZ_WIRING_TRACE_MATRIX.csv before implementation,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-03,"LANE A — Admin, authentication, permissions, security",Senior full-stack domain engineer,32,Create complete Admin module permission matrix,generated permission-route-menu matrix,every protected menu and route has an assignable permission and tests,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,NO,NOT STARTED
P1-04,P1,Business Portal,Certify business auth ownership and invoice isolation,cross-account browser and API tests,Current source/evidence does not satisfy the stated Business Portal control boundary; see inventory and wiring trace.,Resolve exact scoped files from URBAN_GOODZ_WIRING_TRACE_MATRIX.csv before implementation,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-16,"LANE C — Public site, registration, Business and Dispatcher portals",Senior full-stack domain engineer,24,Certify business auth ownership and invoice isolation,cross-account browser and API tests,business users cannot read/write other client records,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,NO,NOT STARTED
P1-05,P1,Dispatcher,Certify territory and role boundaries,cross-company dispatcher tests,Current source/evidence does not satisfy the stated Dispatcher control boundary; see inventory and wiring trace.,Resolve exact scoped files from URBAN_GOODZ_WIRING_TRACE_MATRIX.csv before implementation,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-16,"LANE C — Public site, registration, Business and Dispatcher portals",Senior full-stack domain engineer,24,Certify territory and role boundaries,cross-company dispatcher tests,loads drivers commissions and users remain company/territory scoped,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,NO,NOT STARTED
P1-06,P1,Mobile,Replace Vendor app operational mock repositories,API contract and offline/error UI tests,Current source/evidence does not satisfy the stated Mobile control boundary; see inventory and wiring trace.,Resolve exact scoped files from URBAN_GOODZ_WIRING_TRACE_MATRIX.csv before implementation,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,Stable staging API,LANE E — Vendor and Driver applications,Senior Flutter integration engineer,80,Replace Vendor app operational mock repositories,API contract and offline/error UI tests,dashboard orders inventory bookings and money use authenticated backend data,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,NO,NOT STARTED
